region,service_centre,hardship_type,quarter,amount
Waikato,Huntly,Stranded Travel - Petrol,Dec 2023,1115
Waikato,Huntly,Stranded Travel - Petrol,Mar 2024,1290
Waikato,Huntly,Stranded Travel - Petrol,Jun 2024,1170
Waikato,Huntly,Stranded Travel - Petrol,Sep 2024,1160
Waikato,Huntly,Stranded Travel - Petrol,Dec 2024,860
Waikato,Huntly,Stranded Travel - Petrol,Mar 2025,655
Waikato,Huntly,Stranded Travel - Petrol,Jun 2025,330
Waikato,Huntly,Stranded Travel - Petrol,Sep 2025,1023.2
Waikato,Huntly,Stranded Travel - Petrol,Dec 2025,1255
Waikato,Huntly,Stranded Travel - Petrol,Mar 2026,1930
Waikato,Huntly,All hardship,Mar 2023,956914.27
Waikato,Huntly,All hardship,Jun 2023,797742.56
Waikato,Huntly,All hardship,Sep 2023,827694.24
Waikato,Huntly,All hardship,Dec 2023,559071.13
Waikato,Huntly,All hardship,Mar 2024,573856.47
Waikato,Huntly,All hardship,Jun 2024,469985.44
Waikato,Huntly,All hardship,Sep 2024,486934.49
Waikato,Huntly,All hardship,Dec 2024,474258
Waikato,Huntly,All hardship,Mar 2025,454030.62
Waikato,Huntly,All hardship,Jun 2025,491779.66
Waikato,Huntly,All hardship,Sep 2025,552305.64
Waikato,Huntly,All hardship,Dec 2025,765161.92
Waikato,Huntly,All hardship,Mar 2026,678681.07
Waikato,Kirikiriroa,Electricity Assistance,Mar 2023,12139.36
Waikato,Kirikiriroa,Electricity Assistance,Jun 2023,16810.31
Waikato,Kirikiriroa,Electricity Assistance,Sep 2023,51604.79
Waikato,Kirikiriroa,Electricity Assistance,Dec 2023,45551.63
Waikato,Kirikiriroa,Electricity Assistance,Mar 2024,48862.21
Waikato,Kirikiriroa,Electricity Assistance,Jun 2024,21878.54
Waikato,Kirikiriroa,Electricity Assistance,Sep 2024,44901.5
Waikato,Kirikiriroa,Electricity Assistance,Dec 2024,49867.43
Waikato,Kirikiriroa,Electricity Assistance,Mar 2025,61814.04
Waikato,Kirikiriroa,Electricity Assistance,Jun 2025,41761.68
Waikato,Kirikiriroa,Electricity Assistance,Sep 2025,71724.78
Waikato,Kirikiriroa,Electricity Assistance,Dec 2025,60192.54
Waikato,Kirikiriroa,Electricity Assistance,Mar 2026,64070.64
Waikato,Kirikiriroa,Emergency Housing,Mar 2023,19773944.58
Waikato,Kirikiriroa,Emergency Housing,Jun 2023,18863988.83
Waikato,Kirikiriroa,Emergency Housing,Sep 2023,19003738.15
Waikato,Kirikiriroa,Emergency Housing,Dec 2023,16632379.44
Waikato,Kirikiriroa,Emergency Housing,Mar 2024,15881010.12
Waikato,Kirikiriroa,Emergency Housing,Jun 2024,16289048.01
Waikato,Kirikiriroa,Emergency Housing,Sep 2024,11060683.34
Waikato,Kirikiriroa,Emergency Housing,Dec 2024,5036909
Waikato,Kirikiriroa,Emergency Housing,Mar 2025,3012349
Waikato,Kirikiriroa,Emergency Housing,Jun 2025,3011879.4
Waikato,Kirikiriroa,Emergency Housing,Sep 2025,2922724
Waikato,Kirikiriroa,Emergency Housing,Dec 2025,3198078.96
Waikato,Kirikiriroa,Emergency Housing,Mar 2026,2496671.1
Waikato,Kirikiriroa,Food,Mar 2023,201745.83
Waikato,Kirikiriroa,Food,Jun 2023,193965.57
Waikato,Kirikiriroa,Food,Sep 2023,276996.47
Waikato,Kirikiriroa,Food,Dec 2023,235640.53
Waikato,Kirikiriroa,Food,Mar 2024,203460.62
Waikato,Kirikiriroa,Food,Jun 2024,160252.54
Waikato,Kirikiriroa,Food,Sep 2024,167367.74
Waikato,Kirikiriroa,Food,Dec 2024,158073.86
Waikato,Kirikiriroa,Food,Mar 2025,152312.68
Waikato,Kirikiriroa,Food,Jun 2025,173921.57
Waikato,Kirikiriroa,Food,Sep 2025,183657.68
Waikato,Kirikiriroa,Food,Dec 2025,173444.6
Waikato,Kirikiriroa,Food,Mar 2026,168395.84
Waikato,Kirikiriroa,Gas Assistance,Mar 2023,0
Waikato,Kirikiriroa,Gas Assistance,Jun 2023,30
Waikato,Kirikiriroa,Gas Assistance,Sep 2023,2020.9
Waikato,Kirikiriroa,Gas Assistance,Dec 2023,147.11
Waikato,Kirikiriroa,Gas Assistance,Mar 2024,565.16
Waikato,Kirikiriroa,Gas Assistance,Jun 2024,0
Waikato,Kirikiriroa,Gas Assistance,Sep 2024,94.24
Waikato,Kirikiriroa,Gas Assistance,Dec 2024,510.25
Waikato,Kirikiriroa,Gas Assistance,Mar 2025,0
Waikato,Kirikiriroa,Gas Assistance,Jun 2025,265.25
Waikato,Kirikiriroa,Gas Assistance,Sep 2025,0
Waikato,Kirikiriroa,Gas Assistance,Dec 2025,104.74
Waikato,Kirikiriroa,Gas Assistance,Mar 2026,0
Waikato,Kirikiriroa,Stranded Travel - Petrol,Mar 2023,12842
Waikato,Kirikiriroa,Stranded Travel - Petrol,Jun 2023,6946
Waikato,Kirikiriroa,Stranded Travel - Petrol,Sep 2023,10346.22
Waikato,Kirikiriroa,Stranded Travel - Petrol,Dec 2023,12439
Waikato,Kirikiriroa,Stranded Travel - Petrol,Mar 2024,7738.71
Waikato,Kirikiriroa,Stranded Travel - Petrol,Jun 2024,7030
Waikato,Kirikiriroa,Stranded Travel - Petrol,Sep 2024,8445
Waikato,Kirikiriroa,Stranded Travel - Petrol,Dec 2024,7293
Waikato,Kirikiriroa,Stranded Travel - Petrol,Mar 2025,6205
Waikato,Kirikiriroa,Stranded Travel - Petrol,Jun 2025,5640
Waikato,Kirikiriroa,Stranded Travel - Petrol,Sep 2025,7300
Waikato,Kirikiriroa,Stranded Travel - Petrol,Dec 2025,6540
Waikato,Kirikiriroa,Stranded Travel - Petrol,Mar 2026,6405
Waikato,Kirikiriroa,All hardship,Mar 2023,21430850.88
Waikato,Kirikiriroa,All hardship,Jun 2023,20479807.95
Waikato,Kirikiriroa,All hardship,Sep 2023,21408677.32
Waikato,Kirikiriroa,All hardship,Dec 2023,18656992.49
Waikato,Kirikiriroa,All hardship,Mar 2024,17744389.77
Waikato,Kirikiriroa,All hardship,Jun 2024,18337262.99
Waikato,Kirikiriroa,All hardship,Sep 2024,13601698.4
Waikato,Kirikiriroa,All hardship,Dec 2024,7336176.89
Waikato,Kirikiriroa,All hardship,Mar 2025,5076796.49
Waikato,Kirikiriroa,All hardship,Jun 2025,5263980.07
Waikato,Kirikiriroa,All hardship,Sep 2025,5213011.96
Waikato,Kirikiriroa,All hardship,Dec 2025,5377221.96
Waikato,Kirikiriroa,All hardship,Mar 2026,4610467.2
Waikato,Matamata,Electricity Assistance,Mar 2023,1864.58
Waikato,Matamata,Electricity Assistance,Jun 2023,4836.97
Waikato,Matamata,Electricity Assistance,Sep 2023,11916.84
Waikato,Matamata,Electricity Assistance,Dec 2023,25330.97
Waikato,Matamata,Electricity Assistance,Mar 2024,12838.85
Waikato,Matamata,Electricity Assistance,Jun 2024,6150.32
Waikato,Matamata,Electricity Assistance,Sep 2024,13063.43
Waikato,Matamata,Electricity Assistance,Dec 2024,17146.95
Waikato,Matamata,Electricity Assistance,Mar 2025,10335.68
Waikato,Matamata,Electricity Assistance,Jun 2025,6052.59
Waikato,Matamata,Electricity Assistance,Sep 2025,15787.83
Waikato,Matamata,Electricity Assistance,Dec 2025,7027.71
Waikato,Matamata,Electricity Assistance,Mar 2026,7155.93
Waikato,Matamata,Emergency Housing,Mar 2023,30238
Waikato,Matamata,Emergency Housing,Jun 2023,210042
Waikato,Matamata,Emergency Housing,Sep 2023,235245
Waikato,Matamata,Emergency Housing,Dec 2023,119719
Waikato,Matamata,Emergency Housing,Mar 2024,106960
Waikato,Matamata,Emergency Housing,Jun 2024,171257
Waikato,Matamata,Emergency Housing,Sep 2024,104710
Waikato,Matamata,Emergency Housing,Dec 2024,25523
Waikato,Matamata,Emergency Housing,Mar 2025,4830
Waikato,Matamata,Emergency Housing,Jun 2025,11011
Waikato,Matamata,Emergency Housing,Sep 2025,44663
Waikato,Matamata,Emergency Housing,Dec 2025,24174
Waikato,Matamata,Emergency Housing,Mar 2026,27209
Waikato,Matamata,Food,Mar 2023,11465.21
Waikato,Matamata,Food,Jun 2023,21014.29
Waikato,Matamata,Food,Sep 2023,27552.79
Waikato,Matamata,Food,Dec 2023,28486.73
Waikato,Matamata,Food,Mar 2024,31527.71
Waikato,Matamata,Food,Jun 2024,25492.97
Waikato,Matamata,Food,Sep 2024,26887.63
Waikato,Matamata,Food,Dec 2024,26749.1
Waikato,Matamata,Food,Mar 2025,27976.03
Waikato,Matamata,Food,Jun 2025,21293.59
Waikato,Matamata,Food,Sep 2025,25791.55
Waikato,Matamata,Food,Dec 2025,28181.37
Waikato,Matamata,Food,Mar 2026,29728.78
Waikato,Matamata,Gas Assistance,Mar 2023,370
Waikato,Matamata,Gas Assistance,Jun 2023,0
Waikato,Matamata,Gas Assistance,Sep 2023,0
Waikato,Matamata,Gas Assistance,Dec 2023,145
Waikato,Matamata,Gas Assistance,Mar 2024,0
Waikato,Matamata,Gas Assistance,Jun 2024,44
Waikato,Matamata,Gas Assistance,Sep 2024,0
Waikato,Matamata,Gas Assistance,Dec 2024,0
Waikato,Matamata,Gas Assistance,Mar 2025,423.47
Waikato,Matamata,Gas Assistance,Jun 2025,181.65
Waikato,Matamata,Gas Assistance,Sep 2025,328
Waikato,Matamata,Gas Assistance,Dec 2025,328
Waikato,Matamata,Gas Assistance,Mar 2026,150
Waikato,Matamata,Stranded Travel - Petrol,Mar 2023,360
Waikato,Matamata,Stranded Travel - Petrol,Jun 2023,1230
Waikato,Matamata,Stranded Travel - Petrol,Sep 2023,1805
Waikato,Matamata,Stranded Travel - Petrol,Dec 2023,2230
Waikato,Matamata,Stranded Travel - Petrol,Mar 2024,2668.72
Waikato,Matamata,Stranded Travel - Petrol,Jun 2024,1435
Waikato,Matamata,Stranded Travel - Petrol,Sep 2024,2470
Waikato,Matamata,Stranded Travel - Petrol,Dec 2024,1755
Waikato,Matamata,Stranded Travel - Petrol,Mar 2025,2435
Waikato,Matamata,Stranded Travel - Petrol,Jun 2025,2385
Waikato,Matamata,Stranded Travel - Petrol,Sep 2025,2480
Waikato,Matamata,Stranded Travel - Petrol,Dec 2025,2100
Waikato,Matamata,Stranded Travel - Petrol,Mar 2026,2180
Waikato,Matamata,All hardship,Mar 2023,210289.8
Waikato,Matamata,All hardship,Jun 2023,530907.1
Waikato,Matamata,All hardship,Sep 2023,715400.64
Waikato,Matamata,All hardship,Dec 2023,589097.15
Waikato,Matamata,All hardship,Mar 2024,476736
Waikato,Matamata,All hardship,Jun 2024,589736.64
Waikato,Matamata,All hardship,Sep 2024,545126.93
Waikato,Matamata,All hardship,Dec 2024,430975.88
Waikato,Matamata,All hardship,Mar 2025,441300.18
Waikato,Matamata,All hardship,Jun 2025,328919.27
Waikato,Matamata,All hardship,Sep 2025,480977.81
Waikato,Matamata,All hardship,Dec 2025,401176.17
Waikato,Matamata,All hardship,Mar 2026,403726.7
Waikato,Morrinsville,Electricity Assistance,Mar 2023,4184.35
Waikato,Morrinsville,Electricity Assistance,Jun 2023,3357.86
Waikato,Morrinsville,Electricity Assistance,Sep 2023,1920.29
Waikato,Morrinsville,Electricity Assistance,Dec 2023,1331.26
Waikato,Morrinsville,Electricity Assistance,Mar 2024,5313.87
Waikato,Morrinsville,Electricity Assistance,Jun 2024,1482.86
Waikato,Morrinsville,Electricity Assistance,Sep 2024,5693.21
Waikato,Morrinsville,Electricity Assistance,Dec 2024,5611.25
Waikato,Morrinsville,Electricity Assistance,Mar 2025,1947.5
Waikato,Morrinsville,Electricity Assistance,Jun 2025,2910.44
Waikato,Morrinsville,Electricity Assistance,Sep 2025,4529.06
Waikato,Morrinsville,Electricity Assistance,Dec 2025,2551.39
Waikato,Morrinsville,Electricity Assistance,Mar 2026,2366.64
Waikato,Morrinsville,Emergency Housing,Mar 2023,82026
Waikato,Morrinsville,Emergency Housing,Jun 2023,86163
Waikato,Morrinsville,Emergency Housing,Sep 2023,36661
Waikato,Morrinsville,Emergency Housing,Dec 2023,19024
Waikato,Morrinsville,Emergency Housing,Mar 2024,40449
Waikato,Morrinsville,Emergency Housing,Jun 2024,33306
Waikato,Morrinsville,Emergency Housing,Sep 2024,19012
Waikato,Morrinsville,Emergency Housing,Dec 2024,21157
Waikato,Morrinsville,Emergency Housing,Mar 2025,13489
Waikato,Morrinsville,Emergency Housing,Jun 2025,31461
Waikato,Morrinsville,Emergency Housing,Sep 2025,14489
Waikato,Morrinsville,Emergency Housing,Dec 2025,5593
Waikato,Morrinsville,Emergency Housing,Mar 2026,0
Waikato,Morrinsville,Food,Mar 2023,20566.4
Waikato,Morrinsville,Food,Jun 2023,9571.75
Waikato,Morrinsville,Food,Sep 2023,9540
Waikato,Morrinsville,Food,Dec 2023,6174.72
Waikato,Morrinsville,Food,Mar 2024,6897.95
Waikato,Morrinsville,Food,Jun 2024,7965
Waikato,Morrinsville,Food,Sep 2024,8082.06
Waikato,Morrinsville,Food,Dec 2024,8957
Waikato,Morrinsville,Food,Mar 2025,9534.27
Waikato,Morrinsville,Food,Jun 2025,13035.08
Waikato,Morrinsville,Food,Sep 2025,8334.17
Waikato,Morrinsville,Food,Dec 2025,10315
Waikato,Morrinsville,Food,Mar 2026,9038
Waikato,Morrinsville,Gas Assistance,Mar 2023,0
Waikato,Morrinsville,Gas Assistance,Jun 2023,122.01
Waikato,Morrinsville,Gas Assistance,Sep 2023,0
Waikato,Morrinsville,Gas Assistance,Dec 2023,37.26
Waikato,Morrinsville,Gas Assistance,Mar 2024,0
Waikato,Morrinsville,Gas Assistance,Jun 2024,0
Waikato,Morrinsville,Gas Assistance,Sep 2024,0
Waikato,Morrinsville,Gas Assistance,Dec 2024,0
Waikato,Morrinsville,Gas Assistance,Mar 2025,0
Waikato,Morrinsville,Gas Assistance,Jun 2025,0
Waikato,Morrinsville,Gas Assistance,Sep 2025,0
Waikato,Morrinsville,Gas Assistance,Dec 2025,597.97
Waikato,Morrinsville,Gas Assistance,Mar 2026,0
Waikato,Morrinsville,Stranded Travel - Petrol,Mar 2023,731
Waikato,Morrinsville,Stranded Travel - Petrol,Jun 2023,80
Waikato,Morrinsville,Stranded Travel - Petrol,Sep 2023,340
Waikato,Morrinsville,Stranded Travel - Petrol,Dec 2023,110
Waikato,Morrinsville,Stranded Travel - Petrol,Mar 2024,280
Waikato,Morrinsville,Stranded Travel - Petrol,Jun 2024,101
Waikato,Morrinsville,Stranded Travel - Petrol,Sep 2024,60
Waikato,Morrinsville,Stranded Travel - Petrol,Dec 2024,83.6
Waikato,Morrinsville,Stranded Travel - Petrol,Mar 2025,180
Waikato,Morrinsville,Stranded Travel - Petrol,Jun 2025,325
Waikato,Morrinsville,Stranded Travel - Petrol,Sep 2025,52.8
Waikato,Morrinsville,Stranded Travel - Petrol,Dec 2025,123.2
Waikato,Morrinsville,Stranded Travel - Petrol,Mar 2026,410
Waikato,Morrinsville,All hardship,Mar 2023,401686.73
Waikato,Morrinsville,All hardship,Jun 2023,282901.54
Waikato,Morrinsville,All hardship,Sep 2023,218601.61
Waikato,Morrinsville,All hardship,Dec 2023,137776.55
Waikato,Morrinsville,All hardship,Mar 2024,241648.71
Waikato,Morrinsville,All hardship,Jun 2024,227104.31
Waikato,Morrinsville,All hardship,Sep 2024,205741.47
Waikato,Morrinsville,All hardship,Dec 2024,284163.4
Waikato,Morrinsville,All hardship,Mar 2025,207000.65
Waikato,Morrinsville,All hardship,Jun 2025,289612.49
Waikato,Morrinsville,All hardship,Sep 2025,260890.47
Waikato,Morrinsville,All hardship,Dec 2025,225218.69
Waikato,Morrinsville,All hardship,Mar 2026,196532.57
Waikato,Ngaruawahia,Electricity Assistance,Mar 2023,14442.43
Waikato,Ngaruawahia,Electricity Assistance,Jun 2023,4200.06
Waikato,Ngaruawahia,Electricity Assistance,Sep 2023,17080.8
Waikato,Ngaruawahia,Electricity Assistance,Dec 2023,15443.68
Waikato,Ngaruawahia,Electricity Assistance,Mar 2024,13525.8
Waikato,Ngaruawahia,Electricity Assistance,Jun 2024,3486.11
Waikato,Ngaruawahia,Electricity Assistance,Sep 2024,17375.01
Waikato,Ngaruawahia,Electricity Assistance,Dec 2024,9409.07
Waikato,Ngaruawahia,Electricity Assistance,Mar 2025,17278.12
Waikato,Ngaruawahia,Electricity Assistance,Jun 2025,4792.99
Waikato,Ngaruawahia,Electricity Assistance,Sep 2025,14222.55
Waikato,Ngaruawahia,Electricity Assistance,Dec 2025,13673
Waikato,Ngaruawahia,Electricity Assistance,Mar 2026,3157.52
Waikato,Ngaruawahia,Emergency Housing,Mar 2023,90073
Waikato,Ngaruawahia,Emergency Housing,Jun 2023,34349
Waikato,Ngaruawahia,Emergency Housing,Sep 2023,42490
Waikato,Ngaruawahia,Emergency Housing,Dec 2023,2884
Waikato,Ngaruawahia,Emergency Housing,Mar 2024,15260
Waikato,Ngaruawahia,Emergency Housing,Jun 2024,8400
Waikato,Ngaruawahia,Emergency Housing,Sep 2024,28385
Waikato,Ngaruawahia,Emergency Housing,Dec 2024,20300
Waikato,Ngaruawahia,Emergency Housing,Mar 2025,5320
Waikato,Ngaruawahia,Emergency Housing,Jun 2025,10374
Waikato,Ngaruawahia,Emergency Housing,Sep 2025,0
Waikato,Ngaruawahia,Emergency Housing,Dec 2025,2626
Waikato,Ngaruawahia,Emergency Housing,Mar 2026,5040
Waikato,Ngaruawahia,Food,Mar 2023,50805.58
Waikato,Ngaruawahia,Food,Jun 2023,28249
Waikato,Ngaruawahia,Food,Sep 2023,31294
Waikato,Ngaruawahia,Food,Dec 2023,42469.08
Waikato,Ngaruawahia,Food,Mar 2024,37765.76
Waikato,Ngaruawahia,Food,Jun 2024,26099
Waikato,Ngaruawahia,Food,Sep 2024,29197.14
Waikato,Ngaruawahia,Food,Dec 2024,40952.98
Waikato,Ngaruawahia,Food,Mar 2025,36664.48
Waikato,Ngaruawahia,Food,Jun 2025,28936.86
Waikato,Ngaruawahia,Food,Sep 2025,32968.51
Waikato,Ngaruawahia,Food,Dec 2025,40763.4
Waikato,Ngaruawahia,Food,Mar 2026,31822.8
Waikato,Ngaruawahia,Gas Assistance,Mar 2023,0
Waikato,Ngaruawahia,Gas Assistance,Jun 2023,0
Waikato,Ngaruawahia,Gas Assistance,Sep 2023,70
Waikato,Ngaruawahia,Gas Assistance,Dec 2023,663.72
Waikato,Ngaruawahia,Gas Assistance,Mar 2024,0
Waikato,Ngaruawahia,Gas Assistance,Jun 2024,0
Waikato,Ngaruawahia,Gas Assistance,Sep 2024,0
Waikato,Ngaruawahia,Gas Assistance,Dec 2024,164.75
Waikato,Ngaruawahia,Gas Assistance,Mar 2025,445.93
Waikato,Ngaruawahia,Gas Assistance,Jun 2025,0
Waikato,Ngaruawahia,Gas Assistance,Sep 2025,0
Waikato,Ngaruawahia,Gas Assistance,Dec 2025,0
Waikato,Ngaruawahia,Gas Assistance,Mar 2026,48
Waikato,Ngaruawahia,Stranded Travel - Petrol,Mar 2023,1359.77
Waikato,Ngaruawahia,Stranded Travel - Petrol,Jun 2023,570
Waikato,Ngaruawahia,Stranded Travel - Petrol,Sep 2023,250
Waikato,Ngaruawahia,Stranded Travel - Petrol,Dec 2023,560
Waikato,Ngaruawahia,Stranded Travel - Petrol,Mar 2024,678.8
Waikato,Ngaruawahia,Stranded Travel - Petrol,Jun 2024,280
Waikato,Ngaruawahia,Stranded Travel - Petrol,Sep 2024,925.8
Waikato,Ngaruawahia,Stranded Travel - Petrol,Dec 2024,884
Waikato,Ngaruawahia,Stranded Travel - Petrol,Mar 2025,1730
Waikato,Ngaruawahia,Stranded Travel - Petrol,Jun 2025,965
Waikato,Ngaruawahia,Stranded Travel - Petrol,Sep 2025,350
Waikato,Ngaruawahia,Stranded Travel - Petrol,Dec 2025,405.6
Waikato,Ngaruawahia,Stranded Travel - Petrol,Mar 2026,250
Waikato,Ngaruawahia,All hardship,Mar 2023,476285.58
Waikato,Ngaruawahia,All hardship,Jun 2023,299264.87
Waikato,Ngaruawahia,All hardship,Sep 2023,337807.68
Waikato,Ngaruawahia,All hardship,Dec 2023,441901.3
Waikato,Ngaruawahia,All hardship,Mar 2024,429480.79
Waikato,Ngaruawahia,All hardship,Jun 2024,361656.55
Waikato,Ngaruawahia,All hardship,Sep 2024,391960.13
Waikato,Ngaruawahia,All hardship,Dec 2024,436830.22
Waikato,Ngaruawahia,All hardship,Mar 2025,490473.16
Waikato,Ngaruawahia,All hardship,Jun 2025,456141.3
Waikato,Ngaruawahia,All hardship,Sep 2025,386334.92
Waikato,Ngaruawahia,All hardship,Dec 2025,384931.66
Waikato,Ngaruawahia,All hardship,Mar 2026,371635.39
Waikato,Paeroa,Electricity Assistance,Mar 2023,3091.56
Waikato,Paeroa,Electricity Assistance,Jun 2023,5707.1
Waikato,Paeroa,Electricity Assistance,Sep 2023,10171.45
Waikato,Paeroa,Electricity Assistance,Dec 2023,9805.98
Waikato,Paeroa,Electricity Assistance,Mar 2024,4399.33
Waikato,Paeroa,Electricity Assistance,Jun 2024,1062.06
Waikato,Paeroa,Electricity Assistance,Sep 2024,8948.86
Waikato,Paeroa,Electricity Assistance,Dec 2024,3431.79
Waikato,Paeroa,Electricity Assistance,Mar 2025,6406.34
Waikato,Paeroa,Electricity Assistance,Jun 2025,3840.98
Waikato,Paeroa,Electricity Assistance,Sep 2025,5246.27
Waikato,Paeroa,Electricity Assistance,Dec 2025,12586.24
Waikato,Paeroa,Electricity Assistance,Mar 2026,6760.82
Waikato,Paeroa,Emergency Housing,Mar 2023,8757
Waikato,Paeroa,Emergency Housing,Jun 2023,9275
Waikato,Paeroa,Emergency Housing,Sep 2023,13460
Waikato,Paeroa,Emergency Housing,Dec 2023,26470
Waikato,Paeroa,Emergency Housing,Mar 2024,1300
Waikato,Paeroa,Emergency Housing,Jun 2024,35869
Waikato,Paeroa,Emergency Housing,Sep 2024,64017
Waikato,Paeroa,Emergency Housing,Dec 2024,36126
Waikato,Paeroa,Emergency Housing,Mar 2025,10690
Waikato,Paeroa,Emergency Housing,Jun 2025,28285
Waikato,Paeroa,Emergency Housing,Sep 2025,28765
Waikato,Paeroa,Emergency Housing,Dec 2025,19845
Waikato,Paeroa,Emergency Housing,Mar 2026,19825
Waikato,Paeroa,Food,Mar 2023,11325
Waikato,Paeroa,Food,Jun 2023,13381.7
Waikato,Paeroa,Food,Sep 2023,16751.68
Waikato,Paeroa,Food,Dec 2023,19979.45
Waikato,Paeroa,Food,Mar 2024,17440
Waikato,Paeroa,Food,Jun 2024,11890
Waikato,Paeroa,Food,Sep 2024,18724.05
Waikato,Paeroa,Food,Dec 2024,12942.18
Waikato,Paeroa,Food,Mar 2025,12455
Waikato,Paeroa,Food,Jun 2025,12001.61
Waikato,Paeroa,Food,Sep 2025,11598.4
Waikato,Paeroa,Food,Dec 2025,12953.24
Waikato,Paeroa,Food,Mar 2026,16872.55
Waikato,Paeroa,Gas Assistance,Mar 2023,0
Waikato,Paeroa,Gas Assistance,Jun 2023,825.69
Waikato,Paeroa,Gas Assistance,Sep 2023,0
Waikato,Paeroa,Gas Assistance,Dec 2023,0
Waikato,Paeroa,Gas Assistance,Mar 2024,261.16
Waikato,Paeroa,Gas Assistance,Jun 2024,296.34
Waikato,Paeroa,Gas Assistance,Sep 2024,99.99
Waikato,Paeroa,Gas Assistance,Dec 2024,92.01
Waikato,Paeroa,Gas Assistance,Mar 2025,0
Waikato,Paeroa,Gas Assistance,Jun 2025,0
Waikato,Paeroa,Gas Assistance,Sep 2025,0
Waikato,Paeroa,Gas Assistance,Dec 2025,0
Waikato,Paeroa,Gas Assistance,Mar 2026,0
Waikato,Paeroa,Stranded Travel - Petrol,Mar 2023,1660
Waikato,Paeroa,Stranded Travel - Petrol,Jun 2023,920
Waikato,Paeroa,Stranded Travel - Petrol,Sep 2023,2320
Waikato,Paeroa,Stranded Travel - Petrol,Dec 2023,950
Waikato,Paeroa,Stranded Travel - Petrol,Mar 2024,2325
Waikato,Paeroa,Stranded Travel - Petrol,Jun 2024,1410
Waikato,Paeroa,Stranded Travel - Petrol,Sep 2024,1770
Waikato,Paeroa,Stranded Travel - Petrol,Dec 2024,1480
Waikato,Paeroa,Stranded Travel - Petrol,Mar 2025,1150
Waikato,Paeroa,Stranded Travel - Petrol,Jun 2025,1350
Waikato,Paeroa,Stranded Travel - Petrol,Sep 2025,1080
Waikato,Paeroa,Stranded Travel - Petrol,Dec 2025,1470
Waikato,Paeroa,Stranded Travel - Petrol,Mar 2026,2370
Waikato,Paeroa,All hardship,Mar 2023,177203.83
Waikato,Paeroa,All hardship,Jun 2023,284731.82
Waikato,Paeroa,All hardship,Sep 2023,253293.91
Waikato,Paeroa,All hardship,Dec 2023,239665.14
Waikato,Paeroa,All hardship,Mar 2024,212339.98
Waikato,Paeroa,All hardship,Jun 2024,206185.51
Waikato,Paeroa,All hardship,Sep 2024,290631.44
Waikato,Paeroa,All hardship,Dec 2024,227416.3
Waikato,Paeroa,All hardship,Mar 2025,150141.97
Waikato,Paeroa,All hardship,Jun 2025,174006.8
Waikato,Paeroa,All hardship,Sep 2025,180892.33
Waikato,Paeroa,All hardship,Dec 2025,230051.29
Waikato,Paeroa,All hardship,Mar 2026,295954.84
Waikato,Te Awamutu,Electricity Assistance,Mar 2023,7337.91
Waikato,Te Awamutu,Electricity Assistance,Jun 2023,6427.93
Waikato,Te Awamutu,Electricity Assistance,Sep 2023,16574.22
Waikato,Te Awamutu,Electricity Assistance,Dec 2023,13130.75
Waikato,Te Awamutu,Electricity Assistance,Mar 2024,13281.68
Waikato,Te Awamutu,Electricity Assistance,Jun 2024,6673.69
Waikato,Te Awamutu,Electricity Assistance,Sep 2024,14349.97
Waikato,Te Awamutu,Electricity Assistance,Dec 2024,14169.5
Waikato,Te Awamutu,Electricity Assistance,Mar 2025,9553.39
Waikato,Te Awamutu,Electricity Assistance,Jun 2025,2005.13
Waikato,Te Awamutu,Electricity Assistance,Sep 2025,19978.03
Waikato,Te Awamutu,Electricity Assistance,Dec 2025,7513.24
Waikato,Te Awamutu,Electricity Assistance,Mar 2026,14658.29
Waikato,Te Awamutu,Emergency Housing,Mar 2023,920337.28
Waikato,Te Awamutu,Emergency Housing,Jun 2023,498814.86
Waikato,Te Awamutu,Emergency Housing,Sep 2023,204931
Waikato,Te Awamutu,Emergency Housing,Dec 2023,110811
Waikato,Te Awamutu,Emergency Housing,Mar 2024,38794
Waikato,Te Awamutu,Emergency Housing,Jun 2024,50974
Waikato,Te Awamutu,Emergency Housing,Sep 2024,14700
Waikato,Te Awamutu,Emergency Housing,Dec 2024,22316
Waikato,Te Awamutu,Emergency Housing,Mar 2025,16503
Waikato,Te Awamutu,Emergency Housing,Jun 2025,3710
Waikato,Te Awamutu,Emergency Housing,Sep 2025,9401
Waikato,Te Awamutu,Emergency Housing,Dec 2025,8610
Waikato,Te Awamutu,Emergency Housing,Mar 2026,8652
Waikato,Te Awamutu,Food,Mar 2023,69098.44
Waikato,Te Awamutu,Food,Jun 2023,50035.28
Waikato,Te Awamutu,Food,Sep 2023,44302.38
Waikato,Te Awamutu,Food,Dec 2023,44674.11
Waikato,Te Awamutu,Food,Mar 2024,38585.19
Waikato,Te Awamutu,Food,Jun 2024,34356.65
Waikato,Te Awamutu,Food,Sep 2024,35974.44
Waikato,Te Awamutu,Food,Dec 2024,36653.37
Waikato,Te Awamutu,Food,Mar 2025,43305.72
Waikato,Te Awamutu,Food,Jun 2025,23406.17
Waikato,Te Awamutu,Food,Sep 2025,24736.96
Waikato,Te Awamutu,Food,Dec 2025,27117
Waikato,Te Awamutu,Food,Mar 2026,23833.05
Waikato,Te Awamutu,Gas Assistance,Mar 2023,251.34
Waikato,Te Awamutu,Gas Assistance,Jun 2023,50
