region,service_centre,hardship_type,quarter,amount
Waikato,Cambridge,Electricity Assistance,Mar 2024,7175.53
Waikato,Cambridge,Electricity Assistance,Jun 2024,1184.25
Waikato,Cambridge,Electricity Assistance,Sep 2024,7237.02
Waikato,Cambridge,Electricity Assistance,Dec 2024,4622.3
Waikato,Cambridge,Electricity Assistance,Mar 2025,3116.59
Waikato,Cambridge,Electricity Assistance,Jun 2025,4882.88
Waikato,Cambridge,Electricity Assistance,Sep 2025,9419.64
Waikato,Cambridge,Electricity Assistance,Dec 2025,10039.38
Waikato,Cambridge,Electricity Assistance,Mar 2026,10427.21
Waikato,Cambridge,Emergency Housing,Mar 2023,24327.33
Waikato,Cambridge,Emergency Housing,Jun 2023,4620
Waikato,Cambridge,Emergency Housing,Sep 2023,19229
Waikato,Cambridge,Emergency Housing,Dec 2023,4823
Waikato,Cambridge,Emergency Housing,Mar 2024,0
Waikato,Cambridge,Emergency Housing,Jun 2024,7252
Waikato,Cambridge,Emergency Housing,Sep 2024,2100
Waikato,Cambridge,Emergency Housing,Dec 2024,0
Waikato,Cambridge,Emergency Housing,Mar 2025,0
Waikato,Cambridge,Emergency Housing,Jun 2025,1260
Waikato,Cambridge,Emergency Housing,Sep 2025,3570
Waikato,Cambridge,Emergency Housing,Dec 2025,4480
Waikato,Cambridge,Emergency Housing,Mar 2026,6083
Waikato,Cambridge,Food,Mar 2023,23944
Waikato,Cambridge,Food,Jun 2023,15077.01
Waikato,Cambridge,Food,Sep 2023,13705.54
Waikato,Cambridge,Food,Dec 2023,15170.11
Waikato,Cambridge,Food,Mar 2024,12139.18
Waikato,Cambridge,Food,Jun 2024,8968
Waikato,Cambridge,Food,Sep 2024,9541.55
Waikato,Cambridge,Food,Dec 2024,11399
Waikato,Cambridge,Food,Mar 2025,12692.91
Waikato,Cambridge,Food,Jun 2025,18120.5
Waikato,Cambridge,Food,Sep 2025,16069.02
Waikato,Cambridge,Food,Dec 2025,16117.13
Waikato,Cambridge,Food,Mar 2026,13965.65
Waikato,Cambridge,Gas Assistance,Mar 2023,0
Waikato,Cambridge,Gas Assistance,Jun 2023,0
Waikato,Cambridge,Gas Assistance,Sep 2023,0
Waikato,Cambridge,Gas Assistance,Dec 2023,0
Waikato,Cambridge,Gas Assistance,Mar 2024,0
Waikato,Cambridge,Gas Assistance,Jun 2024,0
Waikato,Cambridge,Gas Assistance,Sep 2024,0
Waikato,Cambridge,Gas Assistance,Dec 2024,310
Waikato,Cambridge,Gas Assistance,Mar 2025,0
Waikato,Cambridge,Gas Assistance,Jun 2025,0
Waikato,Cambridge,Gas Assistance,Sep 2025,150.53
Waikato,Cambridge,Gas Assistance,Dec 2025,0
Waikato,Cambridge,Gas Assistance,Mar 2026,0
Waikato,Cambridge,Stranded Travel - Petrol,Mar 2023,1100
Waikato,Cambridge,Stranded Travel - Petrol,Jun 2023,40
Waikato,Cambridge,Stranded Travel - Petrol,Sep 2023,310
Waikato,Cambridge,Stranded Travel - Petrol,Dec 2023,180
Waikato,Cambridge,Stranded Travel - Petrol,Mar 2024,100
Waikato,Cambridge,Stranded Travel - Petrol,Jun 2024,210
Waikato,Cambridge,Stranded Travel - Petrol,Sep 2024,0
Waikato,Cambridge,Stranded Travel - Petrol,Dec 2024,280
Waikato,Cambridge,Stranded Travel - Petrol,Mar 2025,170
Waikato,Cambridge,Stranded Travel - Petrol,Jun 2025,840
Waikato,Cambridge,Stranded Travel - Petrol,Sep 2025,270
Waikato,Cambridge,Stranded Travel - Petrol,Dec 2025,570
Waikato,Cambridge,Stranded Travel - Petrol,Mar 2026,200
Waikato,Cambridge,All hardship,Mar 2023,325002.41
Waikato,Cambridge,All hardship,Jun 2023,224563.08
Waikato,Cambridge,All hardship,Sep 2023,256536.06
Waikato,Cambridge,All hardship,Dec 2023,186971.62
Waikato,Cambridge,All hardship,Mar 2024,224411.4
